Size (Acres),City,County,State,Price,Notes,Link,Property ID
10,Island Park,Fremont County,ID,"$750,000",,/Fremont-County-Idaho-Land-for-sale/pid/28489577,28489577
604,Pollock,Idaho County,ID,"$750,000",,/Idaho-County-Idaho-Land-for-sale/pid/327003466,327003466
6.18,Kooskia,Idaho County,ID,"$40,500",,/Idaho-County-Idaho-Land-for-sale/pid/25074674,25074674
3.45,McCall,Valley County,ID,"$149,000",,/Valley-County-Idaho-Land-for-sale/pid/330319886,330319886
10.57,Kooskia,Idaho County,ID,"$325,000",,/Idaho-County-Idaho-Land-for-sale/pid/25083977,25083977
70,New Plymouth,Payette County,ID,"$529,000",,/Payette-County-Idaho-Land-for-sale/pid/330263799,330263799
25.13,Kooskia,Idaho County,ID,"$160,000",,/Idaho-County-Idaho-Land-for-sale/pid/25078829,25078829
6.9,Kooskia,Idaho County,ID,"$60,000",,/Idaho-County-Idaho-Land-for-sale/pid/25078818,25078818
4.98,Eagle,Ada County,ID,"$195,000",,/Ada-County-Idaho-Land-for-sale/pid/327754116,327754116
3.93,Donnelly,Valley County,ID,"$400,000",,/Valley-County-Idaho-Land-for-sale/pid/331451217,331451217
347,Kooskia,Idaho County,ID,"$3,200,000",,/Idaho-County-Idaho-Land-for-sale/pid/327610118,327610118
